global_step,epoch,step,loss,learning_rate
0,0,0,8.833611488342285,1.6000000000000001e-06
1,0,1,8.833611488342285,3.2000000000000003e-06
2,0,2,8.833611488342285,4.800000000000001e-06
3,0,3,8.833611488342285,6.4000000000000006e-06
4,0,4,8.833611488342285,8.000000000000001e-06
5,0,5,8.833611488342285,9.600000000000001e-06
6,0,6,8.833611488342285,1.1200000000000001e-05
7,0,7,8.833611488342285,1.2800000000000001e-05
8,0,8,8.833611488342285,1.44e-05
9,0,9,8.833611488342285,1.6000000000000003e-05
10,0,10,8.833611488342285,1.76e-05
11,0,11,8.833611488342285,1.9200000000000003e-05
12,0,12,8.833611488342285,2.08e-05
13,0,13,8.833611488342285,2.2400000000000002e-05
14,0,14,8.833611488342285,2.4e-05
15,0,15,8.833611488342285,2.5600000000000002e-05
16,0,16,8.833611488342285,2.7200000000000004e-05
17,0,17,8.833611488342285,2.88e-05
18,0,18,8.833611488342285,3.04e-05
19,0,19,8.833611488342285,3.2000000000000005e-05
20,0,20,8.833611488342285,3.3600000000000004e-05
21,0,21,8.833611488342285,3.52e-05
22,0,22,8.833611488342285,3.68e-05
23,0,23,8.833611488342285,3.8400000000000005e-05
24,0,24,8.833611488342285,4e-05
25,0,25,8.833611488342285,4.16e-05
26,0,26,8.833611488342285,4.32e-05
27,0,27,8.833611488342285,4.4800000000000005e-05
28,0,28,8.833611488342285,4.64e-05
29,0,29,8.833611488342285,4.8e-05
30,0,30,8.833611488342285,4.96e-05
31,0,31,8.833611488342285,5.1200000000000004e-05
32,0,32,8.833611488342285,5.28e-05
33,0,33,8.833611488342285,5.440000000000001e-05
34,0,34,8.833611488342285,5.6000000000000006e-05
35,0,35,8.833611488342285,5.76e-05
36,0,36,8.833611488342285,5.92e-05
37,0,37,8.833611488342285,6.08e-05
38,0,38,8.833611488342285,6.24e-05
39,0,39,8.833611488342285,6.400000000000001e-05
40,0,40,8.833611488342285,6.560000000000001e-05
41,0,41,8.833611488342285,6.720000000000001e-05
42,0,42,8.833611488342285,6.879999999999999e-05
43,0,43,8.833611488342285,7.04e-05
44,0,44,8.833611488342285,7.2e-05
45,0,45,8.833611488342285,7.36e-05
46,0,46,8.833611488342285,7.52e-05
47,0,47,8.833611488342285,7.680000000000001e-05
48,0,48,8.833611488342285,7.840000000000001e-05
49,0,49,8.833611488342285,8e-05
50,0,50,8.833611488342285,8.16e-05
51,0,51,8.833611488342285,8.32e-05
52,0,52,8.833611488342285,8.48e-05
53,0,53,8.833611488342285,8.64e-05
54,0,54,8.833611488342285,8.800000000000001e-05
55,0,55,8.833611488342285,8.960000000000001e-05
56,0,56,8.833611488342285,9.120000000000001e-05
57,0,57,8.833611488342285,9.28e-05
58,0,58,8.833611488342285,9.44e-05
