global_step,epoch,step,loss,learning_rate
0,0,0,1.1602147817611694,2.0000000000000002e-07
1,0,1,1.1591815948486328,4.0000000000000003e-07
2,0,2,1.1638922691345215,6.000000000000001e-07
3,0,3,1.146561622619629,8.000000000000001e-07
4,0,4,1.1539766788482666,1.0000000000000002e-06
5,0,5,1.152631402015686,1.2000000000000002e-06
6,0,6,1.146118402481079,1.4000000000000001e-06
7,0,7,1.1445715427398682,1.6000000000000001e-06
8,0,8,1.1400145292282104,1.8e-06
9,0,9,1.1287734508514404,2.0000000000000003e-06
10,0,10,1.1273820400238037,2.2e-06
11,0,11,1.1227134466171265,2.4000000000000003e-06
12,0,12,1.1086382865905762,2.6e-06
13,0,13,1.1060717105865479,2.8000000000000003e-06
14,0,14,1.1022148132324219,3e-06
15,0,15,1.08453369140625,3.2000000000000003e-06
16,0,16,1.0678064823150635,3.4000000000000005e-06
17,0,17,1.0681182146072388,3.6e-06
18,0,18,1.0651482343673706,3.8e-06
19,0,19,1.0490896701812744,4.000000000000001e-06
20,0,20,1.0379972457885742,4.2000000000000004e-06
21,0,21,1.0287638902664185,4.4e-06
22,0,22,1.0186790227890015,4.6e-06
23,0,23,1.0071158409118652,4.800000000000001e-06
24,0,24,0.9880161285400391,5e-06
25,0,25,0.9765349626541138,5.2e-06
26,0,26,0.9553537368774414,5.4e-06
27,0,27,0.9535934925079346,5.600000000000001e-06
28,0,28,0.9254290461540222,5.8e-06
29,0,29,0.9291359782218933,6e-06
30,0,30,0.9045270681381226,6.2e-06
31,0,31,0.8924206495285034,6.4000000000000006e-06
32,0,32,0.8650872111320496,6.6e-06
33,0,33,0.8578675985336304,6.800000000000001e-06
34,0,34,0.8369414210319519,7.000000000000001e-06
35,0,35,0.814461350440979,7.2e-06
36,0,36,0.8060966730117798,7.4e-06
37,0,37,0.793513298034668,7.6e-06
38,0,38,0.7781558036804199,7.8e-06
39,0,39,0.7604418992996216,8.000000000000001e-06
40,0,40,0.7485880851745605,8.200000000000001e-06
41,0,41,0.7280377745628357,8.400000000000001e-06
42,0,42,0.7113959193229675,8.599999999999999e-06
43,0,43,0.6956367492675781,8.8e-06
44,0,44,0.6966058611869812,9e-06
45,0,45,0.6893100142478943,9.2e-06
46,0,46,0.6263778209686279,9.4e-06
47,0,47,0.6057620048522949,9.600000000000001e-06
48,0,48,0.5857850313186646,9.800000000000001e-06
49,0,49,0.5850311517715454,1e-05
50,0,50,0.5836478471755981,1.02e-05
51,0,51,0.5198044180870056,1.04e-05
52,0,52,0.5201612114906311,1.06e-05
53,0,53,0.5663357973098755,1.08e-05
54,0,54,0.5180777311325073,1.1000000000000001e-05
55,0,55,0.4860367178916931,1.1200000000000001e-05
56,0,56,0.471366822719574,1.1400000000000001e-05
57,0,57,0.4161076545715332,1.16e-05
58,0,58,0.48454028367996216,1.18e-05
59,0,59,0.4191172122955322,1.2e-05
60,0,60,0.40755602717399597,1.22e-05
61,0,61,0.37248605489730835,1.24e-05
62,0,62,0.3361632227897644,1.2600000000000001e-05
63,0,63,0.3376767337322235,1.2800000000000001e-05
64,0,64,0.33552050590515137,1.3000000000000001e-05
65,0,65,0.3061631917953491,1.32e-05
66,0,66,0.3117499053478241,1.3400000000000002e-05
67,0,67,0.3448527455329895,1.3600000000000002e-05
68,0,68,0.2733853757381439,1.3800000000000002e-05
69,0,69,0.2603094279766083,1.4000000000000001e-05
70,0,70,0.29472705721855164,1.42e-05
71,0,71,0.2780205309391022,1.44e-05
72,0,72,0.213722825050354,1.4599999999999999e-05
73,0,73,0.21636703610420227,1.48e-05
74,0,74,0.19934985041618347,1.5e-05
75,0,75,0.2160193920135498,1.52e-05
76,0,76,0.18696467578411102,1.54e-05
77,0,77,0.25534766912460327,1.56e-05
78,0,78,0.14892035722732544,1.58e-05
79,0,79,0.17275455594062805,1.6000000000000003e-05
80,0,80,0.14035913348197937,1.62e-05
81,0,81,0.12187598645687103,1.6400000000000002e-05
82,0,82,0.13319769501686096,1.66e-05
83,0,83,0.14786392450332642,1.6800000000000002e-05
84,0,84,0.247725248336792,1.7000000000000003e-05
85,0,85,0.17750774323940277,1.7199999999999998e-05
86,0,86,0.11997305601835251,1.74e-05
87,0,87,0.15937930345535278,1.76e-05
88,0,88,0.14072921872138977,1.78e-05
89,0,89,0.11355956643819809,1.8e-05
90,0,90,0.11278312653303146,1.8200000000000002e-05
91,0,91,0.09269379079341888,1.84e-05
92,0,92,0.08477988094091415,1.86e-05
93,0,93,0.12550882995128632,1.88e-05
94,0,94,0.07762286067008972,1.9e-05
95,0,95,0.10137759149074554,1.9200000000000003e-05
96,0,96,0.08489368855953217,1.94e-05
97,0,97,0.07250228524208069,1.9600000000000002e-05
98,0,98,0.11458787322044373,1.9800000000000004e-05
99,0,99,0.09067606925964355,2e-05
100,0,100,0.1298927366733551,2.0200000000000003e-05
101,0,101,0.15220201015472412,2.04e-05
102,0,102,0.11961840093135834,2.06e-05
103,0,103,0.061618488281965256,2.08e-05
104,0,104,0.06512141972780228,2.1e-05
105,0,105,0.13092783093452454,2.12e-05
106,0,106,0.05755162984132767,2.1400000000000002e-05
107,0,107,0.06459624320268631,2.16e-05
108,0,108,0.0676879733800888,2.18e-05
109,0,109,0.08998247981071472,2.2000000000000003e-05
110,0,110,0.0663522481918335,2.22e-05
111,0,111,0.11211191117763519,2.2400000000000002e-05
112,0,112,0.0647752583026886,2.26e-05
113,0,113,0.07970176637172699,2.2800000000000002e-05
114,0,114,0.07179126143455505,2.3000000000000003e-05
115,0,115,0.12815216183662415,2.32e-05
116,0,116,0.08224271237850189,2.3400000000000003e-05
117,0,117,0.08270175755023956,2.36e-05
118,0,118,0.06915535032749176,2.38e-05
119,0,119,0.10514622181653976,2.4e-05
120,0,120,0.08631347864866257,2.4200000000000002e-05
121,0,121,0.1188846230506897,2.44e-05
122,0,122,0.09326377511024475,2.46e-05
123,0,123,0.047676414251327515,2.48e-05
124,0,124,0.11377893388271332,2.5e-05
